heading,data
US judge blocks plan to deport migrants to Libya,"A US judge in Boston ordered a temporary block on the Trump administration's plan to deport migrants to Libya, saying it would ""clearly violate"" a prior order he made that ensures their right to due process.
The order came after two US officials told BBC partner CBS News that the US may soon start deporting migrants to Libya as part of its crackdown on immigration.
In response to the deportations report, Libyan Prime Minister Abdul Hamid Dbeibeh wrote in a statement on X that his country refused ""to be a destination for the deportation of migrants under any pretext.""
Responding to the same report, a spokesperson for the US state department said they would not discuss the matter.
The officials who spoke to CBS - who requested anonymity - said the US military could fly migrants to the North African country as early as this week.
The move is likely to spark controversy - Libya has been mired in conflict for more than a decade and the US state department advises Americans not to travel there due to factors like crime, terrorism and civil unrest.
Immigration lawyers moved quickly on Wednesday to prevent the Trump administration from carrying out the deportations, asking a Massachusetts judge to ""urgently"" issue a temporary block.
""Multiple credible sources report that flights are preparing to immediately depart the United States carrying class members for removal to Libya,"" the attorneys wrote in their court filing
US District Judge Brian Murphy in Boston responded late on Wednesday afternoon by issuing an order that restricts the Trump administration's ability to quickly deport the migrants.
In his ruling, Judge Murphy said the deportations ""blatantly"" defy an injunction he had previously issued that protects the due process rights of migrants subject to final deportation orders.
That earlier ruling requires officials to provide migrants with a written notice in their language and a meaningful opportunity to file a claim to protect them from removal.
Asked whether he was aware of the plan to deport migrants to Libya, President Donald Trump said on Wednesday: ""I don't know. You'll have to ask homeland security.""
Libya is thought to be one of several countries asked to accept migrant deportations by Trump's administration.
This week Rwanda confirmed it was in the ""early stage"" of talks with the US, while Benin, Angola, Equatorial Guinea, Eswatini and Moldova have all been named in media reports.
•	Migrants on edge as Trump administration ramps up raids and arrests
•	Trump's first 100 days - in numbers
It is not clear how many people the US hopes to deport to Libya, or which part of Libya the migrants would be sent to.
Since the overthrow of former ruler Muammar Gaddafi in 2011, the country has been divided into two - the west is ruled by a UN-backed government, of which Dbeibeh is prime minister, while military strongman Gen Khalifa Haftar controls the east.
Haftar's son met US officials in Washington last Monday, but the US state department and a Libyan spokesperson said the meeting was not about deportations.
Since returning to office in January, President Trump has launched a mass deportation campaign - at times relying on controversial tactics such as the invocation of a centuries-old wartime law.
Earlier this week, the government offered migrants who are in the US illegally a sum worth $1,000 (£751) to leave the country.
"
"Stocks in news: Coal India, Dabur, BSE, Paytm, Prestige Estates","The domestic market has been consolidating in recent sessions following the strong recovery, driven by cautious sentiment amid India-Pakistan border tensions. In today's trade, shares of Coal India, Dabur, BSE, Paytm, Prestige Estates among others will be in focus due to various news developments and fourth quarter results.

Coal India, Dabur, MRF, Hudco
Shares of Coal India, Dabur, MRF and Hudco will be in focus as the companies will announce their fourth quarter results today.
BSE
India's oldest exchange BSE has reported robust fourth quarter numbers as its net profit soared 362% year-on-year (YoY) to Rs 494 crore.

Paytm
One 97 Communications, which operates fintech platform Paytm reported a consolidated net loss of Rs 540 crore in Q4FY25 versus Rs 550 crore reported in the year ago period.

HPCL
HPCL reported a consolidated net profit growth of 26% at Rs 3,415  ..
GMDC
GMDC signed a long-term supply agreement with City Gold Pipes for supply of 150 million tonnes of limestone over 40 years from Kutch’s Lakhpat Punrajpur Mine.

Prestige Estates
Prestige Estates said The Prestige City, Indirapuram, achieved sales of over Rs 3,000 crore across 1,200 units within a week of its launch.

Piramal Enterprises
Piramal Enterprises reported net loss of Rs 23 crore in the fourth quarter as against ..

"
"Speculative, incorrect: Yes Bank denies stake sale reports in clarification","Yes Bank on Tuesday clarified that its discussions with various stakeholders, aimed at enhancing shareholder value, are routine and currently at a preliminary stage. The clarification follows reports that Japan-based Sumitomo Mitsui Banking Corporation (SMBC) has received Reserve Bank of India (RBI) approval to acquire a 51 per cent stake in the bank. The reports sent Yes Bank shares surging over 8 per cent in early trade on Tuesday. However, the stock pared most of its gains by market close, ending just 1.18 per cent higher at Rs 17.94.
 
The lender disclosed on the exchanges that reports pertaining to discussion with SMBC on stake sale are speculative and factually “incorrect”. 
The bank is on a growth trajectory and routinely explores opportunities with various stakeholders, which are aimed at enhancing shareholder value. However, such discussions are preliminary and do not warrant a disclosure…”, the bank said in an exchange filing.
According to reports, SMBC is in talks with the private lender to acquire a little over 20 per cent stake in the bank, which will trigger an open offer to acquire a majority stake in the bank.
Currently, State Bank of India (SBI) holds over 24 per cent stake in Yes Bank. Additionally, several other private sector lenders, including HDFC Bank, ICICI Bank, Axis Bank, and Kotak Mahindra Bank also own a marginal stake in the bank.
 
During the reconstruction of the bank in 2020, SBI along with a clutch of private sector lenders and Life Insurance Corporation (LIC) had put in Rs 10,000 crore into the bank.
 
Emails sent to RBI, LIC, SBI, HDFC Bank, and ICICI Bank did not elicit a response. Yes Bank did not reply to an email seeking comments.
"
NSE receives in-principle approval from Sebi for electricity derivatives,"The National Stock Exchange (NSE) has received in-principle approval from the Securities and Exchange Board of India (Sebi) to launch electricity derivatives, the company’s management stated during an analyst call on Wednesday following the fourth-quarter earnings announcement.
 
However, the plan remains at a nascent stage, with the structure of the contracts yet to be finalised.
 
“We have just about started the process. We have the in-principle approval, and the terms of the contract are still being discussed with the regulators. There is a lot of capacity building required before launching this product,” said a member of the company’s management during the call.
NSE added that Indian regulators favour introducing shorter tenures—such as half-yearly or monthly contracts—while in several other countries, yearly contracts are common. The details remain under discussion with the regulators.
 
While Sebi will regulate the derivatives market, the spot market does not fall under its purview.
“We believe NSE has an advantage in this market due to its advanced technology compared to many other players,” the official added. 
NSE management added further that the exchange may not see any further loss of market share in the derivatives segment to the rival BSE. The  impact on the market share followed regulatory changes  by the Sebi which limited weekly expiries to one benchmark per exchange. 
""The market share loss part has run its course now, given the fact that everything that had to happen has happened, hopefully. And so, unless the new other measures come that specifically target only NSE, we seem to believe that this is pretty much the market share,"" stated the NSE management. 
 
When asked about the status of the initial public offering (IPO), officials said the company had not yet heard back after responding to Sebi’s letter dated February 28. NSE has sought a no-objection certificate from the regulator to file a draft red herring prospectus (DRHP) for the IPO. The market regulator had raised certain issues, to which NSE formally responded in March.
"
Tata Motors shareholders approve plan to split into two listed companies,"Tata Motors said on Tuesday its shareholders have approved the company's plan to split the automaker into two listed companies, separating its passenger and commercial vehicle arms.
 
Tata Motors had said last March that it would divide its commercial vehicle arm from its passenger business, which houses its cash cow luxury Jaguar Land Rover (JLR) brand, to unlock better growth prospects.
 
The proposal, which would give the shareholders equal stakes in both the listed entities, was approved with 99.9995% of votes, it said in an exchange filing.
"
"AERA revises tariffs, differential UDF for eco, biz passengers on intl flights from Mumbai airport","Regulator AERA has fixed differential User Development Fee (UDF) for economy and business class passengers on international flights from Mumbai airport, while the fee for departing domestic passengers has been set at Rs 175. The revised tariffs have been finalised by the Airports Economic Regulatory Authority of India (AERA) for the period from May 16, 2025 to March 31, 2029.
In a move to ensure equitable allocation of aeronautical charges among all concerned stakeholders, it has been decided that the UDF for domestic passengers will be Rs 175 per departing domestic passenger, which will remain constant throughout the fourth control period, the regulator said in a release on Thursday.

Earlier, a charge of Rs 120 per departing domestic passenger was levied till August 2024 in the form of development fees.
""The UDF for international passengers has been rationalized with a differential rate for economy and business class travelers. The UDF for the international departing passenger in economy class has been fixed at Rs 615 per pax and for international departing passenger in business class it will be Rs 695 per pax.

""This adjustment aligns with the 'User Pays' principle and reflects the enhanced passenger experience and expanded facilities available and used by international travellers,"" AERA said.
The landing and parking charges for the airlines have also been rationalised downwards and kept at reasonable levels, considering competitive airport charges at similar airports.

This ensures that airline operations are not unduly burdened, and that operational efficiency is maintained, the watchdog said.

According to AERA, the UDF has been set nominally at Rs 175 for domestic air passengers who comprise 75 per cent of the total passenger air traffic at CSMI Airport, underscoring the commitment to protect passenger interests, ensure affordability, and foster growth in the domestic aviation sector."
Stock markets fall in volatile trade on rising India-Pakistan tensions,"Benchmark Sensex declined by nearly 412 points in a volatile session on Thursday (May 8, 2025) due to selling in banking, FMCG and auto shares triggered by escalating tensions between India and Pakistan.
The 30-share Sensex declined by 411.97 points or 0.51% to close at 80,334.81 with 23 of its constituents ending in the red. The index opened higher and traded in a range in the first half of the session. The index hit a high of 80,927.99 in late-morning deals.
However, the barometer lost momentum in the afternoon session as selling emerged in FMCG, auto, and select banking shares. It tanked 759.17 points or 0.94% to hit a low of 79,987.61 in the pre-close session.
The NSE Nifty closed lower by 140.60 points or 0.58% to 24,273.80. Intra-day, it fell 264.2 points or 1% to 24,150.20.
Indian Armed forces foiled attempts by the Pakistani military to engage a number of military targets in Northern and Western India using drones and missiles last night and destroyed a Pakistani air defence system in Lahore, officials said on Thursday (May 8, 2025).
The Pakistani military attempted to target Awantipura, Srinagar, Jammu, Pathankot, Amritsar, Kapurthala, Jalandhar, Ludhiana, Adampur, Bhatinda, Chandigarh, Nal, Phalodi, Uttarlai, and Bhuj, they said.
These were neutralised by the Integrated Counter Unmanned Aircraft System (Grid and Air Defence systems), the Defence Ministry said.
“Today morning Indian armed forces targeted air defence radars and systems at a number of locations in Pakistan. Indian response has been in the same domain with the same intensity as Pakistan,” the Ministry said in a readout.
"
"Bill Gates to shut Gates Foundation sooner than planned, give away $200 billion to world’s poorest","Bill Gates has announced he will donate 99 per cent of his remaining fortune to the Gates Foundation, which is now set to shut down in 2045, significantly earlier than originally planned. Until then, the foundation will be drawing down its endowment and nearly all of Gates’s personal fortune, currently estimated at $107 billion.
The pledge ranks among the largest philanthropic commitments in history, surpassing the inflation-adjusted donations of industrialists like John D. Rockefeller and Andrew Carnegie. Only Warren Buffett’s plan to donate his USD 160 billion fortune, depending on market fluctuations, may ultimately be larger.
Gates’s donation will be distributed over time, enabling the foundation to spend an additional USD 200 billion over the next 20 years. “It’s kind of thrilling to have that much to be able to put into these causes,” Gates said in an interview with The Associated Press.
The announcement signals both a lasting commitment to the foundation’s central causes including global health and education in the US, and a definitive endpoint to its global influence. Gates believes that spending the money sooner will save and improve more lives, with ripple effects extending beyond the foundation’s eventual closure.
“I think 20 years is the right balance between giving as much as we can to make progress on these things and giving people a lot of notice that now this money will be gone,” he said.
In contrast to most foundations that aim to operate indefinitely, often straying from their original missions, Gates emphasised the value of a fixed timeline. “Who knows how their work relates to the intent of the person who started that foundation?” he asked.
Originally, the foundation had planned to wind down two decades after Gates’s death. With this new plan, the timeline is significantly accelerated. Though Gates, now 69, plans to remain engaged, he acknowledged that he may not be actively involved when the foundation closes.
"
"US Fed holds rates steady, cites risk of higher inflation, unemployment","The Federal Reserve held interest rates steady on Wednesday but said the risks of both higher inflation and unemployment had risen, further clouding the economic outlook as the U.S. central bank grapples with the impact of Trump administration tariff policies. 
The economy overall has ""continued to expand at a solid pace,"" the Fed said in a policy statement, attributing a drop in first-quarter output to record imports as businesses and households rushed to front-run new import taxes. 
The labor market also remained ""solid"" and inflation was still ""somewhat elevated,"" the central bank's policy-setting Federal Open Market Committee said, repeating the language used in its previous statement.
But the latest statement highlighted developing risks that could leave the Fed with difficult choices in coming months. 
""Uncertainty about the economic outlook has increased further,"" the FOMC said at the end of a two-day meeting during which officials agreed unanimously to keep the central bank's benchmark interest rate steady in the 4.25%-4.50% range.
""The Committee is attentive to the risks to both sides of its dual mandate and judges that the risks of higher unemployment and higher inflation have risen,"" the statement said. 
The direction of policy will depend on which of those risks develop, or, in the more difficult outcome, whether inflation and unemployment increase together and force the Fed to choose which risk is more important to try to offset with monetary policy.
A weaker job market would typically strengthen the case for rate cuts; higher inflation would call for monetary policy to remain tight. 
The Fed's policy rate has been unchanged since December as officials struggle to estimate the impact of President Donald Trump's import tariffs, which have raised the prospect of higher inflation and slower economic growth this year. 
With policy unchanged and no new economic projections issued, it will fall to Fed Chair Jerome Powell to elaborate on the meeting and the outlook in a press conference at 2:30 p.m. EDT (1830 GMT).
 
When policymakers last updated their economic and policy projections in March, they anticipated reducing the benchmark rate by half a percentage point by the end of this year.
"
